price,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathroom_qty,bathroom_type,mrtDisp,nearestMRT,cityDisp
60.0,1.34002,103.73706,Apartment,Private room,2,1.0,1.0,2,baths,0.565660135864304,Chinese Garden,14.050200106659078
200.0,1.32162,103.91466,Home,Entire home/apt,7,3.0,5.0,2,baths,0.15293315818380704,Kembangan,8.356055194760375
254.0,1.29694,103.85557,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.32804029084778547,Esplanade,1.6382276211085631
400.0,1.31593,103.82905,Condominium,Entire home/apt,6,3.0,3.0,3,baths,0.5689568961058638,Stevens,4.311435792920024
130.0,1.31713,103.91314,Home,Private room,3,1.0,1.0,1,private,0.43133412252248393,Kembangan,7.963520959848959
130.0,1.31756,103.91254,Home,Private room,3,1.0,1.0,1,private,0.3949675276468037,Kembangan,7.9276591298609675
90.0,1.31716,103.91232,Home,Private room,1,1.0,1.0,1,private,0.4443402785807625,Kembangan,7.884885508081641
100.0,1.31893,103.91257,Home,Private room,3,1.0,1.0,1,private,0.24916129981487833,Kembangan,8.004874361963063
100.0,1.31716,103.91259,Home,Private room,3,1.0,1.0,1,private,0.43693464638147667,Kembangan,7.911270503061722
100.0,1.31696,103.91394,Home,Private room,3,1.0,1.0,1,private,0.4525292342977721,Kembangan,8.033191847064591
100.0,1.31851,103.9123,Home,Private room,3,1.0,1.0,1,private,0.3039747300416524,Kembangan,7.9557212071032355
100.0,1.31855,103.91259,Home,Private room,3,1.0,1.0,1,private,0.2878852439889988,Kembangan,7.98598329013479
85.0,1.28039,103.85169,Condominium,Private room,1,1.0,1.0,1,private,0.15904888962909744,Downtown,0.37416393863986064
120.0,1.28002,103.85181,Condominium,Entire home/apt,1,1.0,1.0,1,baths,0.12503752723734055,Downtown,0.4165418906012603
45.0,1.3455,103.96045,Home,Private room,2,1.0,1.0,1,private,0.3833237599859227,Upper Changi,14.092248001012914
28.0,1.30389,103.849,Hostel,Shared room,1,1.0,1.0,0,baths,0.3145530884215639,Little India,2.292203957484237
33.0,1.30356,103.84953,Hostel,Shared room,1,1.0,1.0,0,baths,0.33919902571450883,Rochor,2.2534181295041664
33.0,1.30394,103.85108,Hostel,Shared room,1,1.0,1.0,0,shared,0.17106544057297685,Rochor,2.298204616647204
30.0,1.30345,103.84902,Apartment,Shared room,1,1.0,1.0,0,baths,0.3627991255609443,Little India,2.243227872492482
186.0,1.31334,103.89381,Condominium,Entire home/apt,5,3.0,4.0,2,baths,0.5471652560825057,Paya Lebar,5.905633736987459
125.0,1.28146,103.85142,Condominium,Entire home/apt,1,1.0,1.0,2,baths,0.2675592609731739,Downtown,0.2584177029977158
130.0,1.3055,103.84889,Apartment,Shared room,4,1.0,4.0,0,baths,0.14388419855469328,Little India,2.471612945867435
151.0,1.28202,103.85222,Condominium,Entire home/apt,2,1.0,1.0,1,baths,0.23252898506387776,Raffles Place,0.2848923525437824
112.0,1.44162,103.82343,Home,Private room,2,1.0,1.0,1,private,0.9155538703532035,Sembawang,17.8504602963532
160.0,1.34789,103.93969,Condominium,Entire home/apt,6,3.0,3.0,3,baths,0.3027286828033262,Tampines West,12.287898051878793
237.0,1.296265,103.840942,Apartment,Entire home/apt,3,1.0,1.0,1,baths,0.5483620073343183,Somerset,1.7584897043829621
33.0,1.30362,103.84967,Apartment,Shared room,1,1.0,1.0,0,baths,0.32361199715110767,Rochor,2.2597818201186706
28.0,1.30479,103.85091,Apartment,Shared room,1,1.0,8.0,0,baths,0.22800456983591202,Rochor,2.391722629819938
36.0,1.30565,103.84964,Apartment,Shared room,1,1.0,1.0,0,baths,0.11888964585473946,Little India,2.4855322489012686
30.0,1.30563,103.85041,Apartment,Shared room,1,1.0,1.0,0,baths,0.16317220672173902,Little India,2.4834044304636262
27.0,1.34546,103.70155,Apartment,Private room,1,1.0,1.0,2,baths,0.8963654784149383,Boon Lay,17.891585800543883
59.0,1.30803,103.8627,Apartment,Private room,1,1.0,1.0,3,shared,0.07138396431580185,Lavender,3.091104096958967
120.0,1.31662,103.83582,Condominium,Private room,2,1.0,1.0,1,baths,0.3951096019818363,Newton,4.026415627190869
250.0,1.28172,103.85193,Condominium,Entire home/apt,3,1.0,2.0,1,baths,0.25712978430275485,Raffles Place,0.27730710903576694
60.0,1.35476,103.87241,Apartment,Private room,2,1.0,2.0,1,baths,0.5613996482267019,Serangoon,8.327370916349953
119.0,1.35329,103.93195,Apartment,Shared room,1,1.0,1.0,0,shared,1.1063229590818584,Tampines West,11.981674719726817
90.0,1.32218,103.84192,Apartment,Private room,2,1.0,2.0,1,baths,0.28515270448725666,Novena,4.415588770547376
63.0,1.28326,103.84468,Hostel,Hotel room,9,1.0,9.0,5,baths,0.18659562414566616,Chinatown,0.5914261816787211
