price,latitude,longitude,property_type,room_type,bedrooms,beds,bathroom_qty,bathroom_type
90.0,1.38246,103.89146,Apartment,Entire home/apt,1.0,1.0,1.0,baths
250.0,1.37772,103.77431,Apartment,Private room,1.0,2.0,1.0,baths
29.0,1.31005,103.85829,Apartment,Shared room,1.0,1.0,1.0,shared
29.0,1.31005,103.85829,Apartment,Shared room,1.0,1.0,1.0,shared
29.0,1.31005,103.85829,Apartment,Shared room,1.0,1.0,1.0,shared
29.0,1.31005,103.85829,Apartment,Shared room,1.0,10.0,4.0,shared
28.0,1.31005,103.85829,Apartment,Shared room,1.0,1.0,1.0,shared
27.0,1.31005,103.85829,Hotel,Hotel room,1.0,10.0,4.0,baths
27.0,1.31005,103.85829,Hotel,Hotel room,1.0,12.0,4.0,shared
59.0,1.31005,103.85829,Apartment,Shared room,1.0,1.0,1.0,shared
59.0,1.31005,103.85829,Apartment,Shared room,1.0,1.0,1.0,shared
59.0,1.31005,103.85829,Apartment,Shared room,1.0,1.0,1.0,shared
